Cột 1 (TT),Cột 2 (Họ và tên cán bộ),Cột 3 (Chức vụ),Cột 4 (Đơn vị),Cột 5 (Mối quan hệ),Cột 6 (Họ và tên thân nhân),Cột 7 (Tên khác),"Cột 8 (Ngày, tháng, năm sinh)",Cột 9 (Quê quán),Cột 10 (Quốc tịch),Cột 11 (CCCD),Cột 12 (Nghề nghiệp),Cột 13 (Nơi đăng ký HKTT),Cột 14 (Nơi ở hiện nay),Cột 15 (Số Căn cước công dân),Cột 16 (Số hồ sơ),Cột 17 (Nội Dung),"Cột 18 (Đơn vị học tập, làm việc, sinh sống ở nước ngoài)",Cột 19 (Quốc Gia),"Cột 20 (Thời gian học tập, làm việc, sinh sống ở nước ngoài)",Cột 21 (Nguồn Kinh phí (Tự túc; học bổng; mời làm việc; tài trợ )),Cột 22 (Đơn vị công tác hiện nay),Cột 23 (Kết hôn với người nước ngoài),Cột 24 (Làm việc tại công ty có vốn đầu tư nước ngoài),Cột 25 (Xử lý vi phạm NN (Nước sở tại)),Cột 26 (Xử lý vi phạm VN (Pháp luật Việt Nam))
14,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Bà nội vợ/chồng,Nguyễn Thị Sốt,Không,1932,Bình Dương,Việt Nam,1234,làm nông,Đã mất năm 2009,Đã mất năm 2009,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
15,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Mẹ vợ/chồng,Nguyễn Thị Thu Hồng,Không,1962,Bình Dương,Việt Nam,1234,Buôn bán,"Hòa Lợi, Bến Cát, TP.HCM","Hòa Lợi, Bến Cát, TP.HCM",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
16,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Ông ngoại vợ/chồng,Nguyễn Văn Lân,Không,1915,Bình Dương,Việt Nam,1234,làm nông,Đã mất năm 1986,Đã mất năm 1986,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
17,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Bà ngoại vợ/chồng,Nguyễn Thị Rượu,Không,1920,Bình Dương,Việt Nam,1234,làm nông,Đã mất năm 1999,Đã mất năm 1999,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
18,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,"Anh, Chị, Em ruột",Em: Phạm Văn Thắm,Không,1982,Bình Dương,Việt Nam,1234,Buôn bán,"Phú Mỹ, Thủ Dầu Một","Phú Mỹ, Thủ Dầu Một",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
19,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,"Anh, Chị, Em ruột",Em: Phạm Thị Như Ý,Không,1985,Bình Dương,Việt Nam,1234,Buôn bán,"Phú Mỹ, Thủ Dầu Một","Phú Mỹ, Thủ Dầu Một",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
20,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,"Anh, Chị, Em ruột",Em: Phạm Thị Hạnh,Không,1988,Bình Dương,Việt Nam,1234,Buôn bán,"Phú Mỹ, Thủ Dầu Một","Phú Mỹ, Thủ Dầu Một",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
21,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Cha ruột,Châu Xi,Không,1948,TP.HCM,Việt Nam,1235,Nguyên Chủ tịch Hội Luật gia Quận 1,"28 Võ văn Kiệt, phường Bến Thành, TP.HCM","28 Võ văn Kiệt, phường Bến Thành, TP.HCM",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
22,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Ông nội,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,1235,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,,
23,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Bà nội,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,1235,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,,
24,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Mẹ ruột,Bạch Quyên Khuây,Không,1957,TP.HCM,Việt Nam,1235,Cán bộ Hội Liên hiệp phụ nữ Quận 1,"28 Võ văn Kiệt, phường Bến Thành, TP.HCM","28 Võ văn Kiệt, phường Bến Thành, TP.HCM",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,
25,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Ông ngoại,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,1235,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,
26,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Bà ngoại,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,1235,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,
27,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Vợ/chồng,,,,,,1235,,,,,,,,,,,,,,,
28,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Con Thứ 1,,,,,,1235,,,,,,,,,,,,,,,
29,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Con Thứ 2,,,,,,1235,,,,,,,,,,,,,,,
30,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Cha vợ/chồng,,,,,,1235,,,,,,,,,,,,,,,
31,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Ông nội vợ/chồng,,,,,,1235,,,,,,,,,,,,,,,
32,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Bà nội vợ/chồng,,,,,,1235,,,,,,,,,,,,,,,
33,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Mẹ vợ/chồng,,,,,,1235,,,,,,,,,,,,,,,
34,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Ông ngoại vợ/chồng,,,,,,1235,,,,,,,,,,,,,,,
35,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành",Bà ngoại vợ/chồng,,,,,,1235,,,,,,,,,,,,,,,
36,Châu Phụng Chi,Phường Bến Thành,"Bí Thư Chi Bộ, Chánh văn Phòng HĐND và UBND phường Bến Thành, Đại biểu HĐND phường Bến Thành","Anh, Chị, Em ruột",Châu Vĩ Tuấn,Không,1984,TP.HCM,Việt Nam,1235,Trưởng Phòng Văn bản Sở Tư Pháp,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,
